portfolio_model,start_date,end_date,trading_days,start_close,end_close,return_pct,max_drawdown_pct,opening_raw_decision,opening_action,overlaps_order_uncertainty
FAMA_FRENCH,2014-12-18,2015-02-26,47,206.78,211.38,2.224586517071281,4.647422384055189,bear,APPLY_FAMA_FRENCH,False
GROWTH,2015-02-27,2015-08-21,123,210.66,197.63,-6.185322320326593,7.433255269320846,bull,APPLY_GROWTH,False
FAMA_FRENCH,2015-08-24,2015-11-10,56,189.55,208.56,10.029016090741223,6.079528424418031,bear,APPLY_FAMA_FRENCH,False
GROWTH,2015-11-11,2016-01-07,39,207.74,194.05,-6.589968229517665,7.893487753939622,bull,APPLY_GROWTH,False
FAMA_FRENCH,2016-01-08,2016-03-24,53,191.923,203.12,5.834110554753731,5.606419135167718,bear,APPLY_FAMA_FRENCH,False
GROWTH,2016-03-28,2018-02-02,469,203.24,275.45,35.52942334186183,6.013090361162128,bull,APPLY_GROWTH,False
FAMA_FRENCH,2018-02-05,2018-05-23,76,263.93,273.36,3.572917061342025,7.673826514146369,bear,APPLY_FAMA_FRENCH,False
GROWTH,2018-05-24,2018-10-10,97,272.8,278.3,2.0161290322580645,5.204714217589745,bull,APPLY_GROWTH,False
FAMA_FRENCH,2018-10-11,2019-03-05,98,272.17,279.02,2.516809347099227,16.607949895021527,bear,APPLY_FAMA_FRENCH,False
GROWTH,2019-03-06,2019-05-13,48,277.33,280.86,1.2728518371615152,4.4791347821650715,bull,APPLY_GROWTH,False
FAMA_FRENCH,2019-05-14,2019-07-18,46,283.4,298.83,5.444601270289347,4.563781717066387,bear,APPLY_FAMA_FRENCH,False
GROWTH,2019-07-19,2019-08-05,12,297.17,283.82,-4.492378100077405,6.022979371543988,bull,APPLY_GROWTH,False
FAMA_FRENCH,2019-08-06,2019-09-23,34,287.8,298.21,3.6170952050034635,3.3104011988284268,bear,APPLY_FAMA_FRENCH,False
GROWTH,2019-09-24,2020-01-31,90,295.87,321.73,8.740325142799207,3.212149721120893,bull,APPLY_GROWTH,False
FAMA_FRENCH,2020-02-03,2021-06-09,341,324.12,421.65,30.090707145501653,34.10474670449843,bear,APPLY_FAMA_FRENCH,True
GROWTH,2021-06-10,2021-09-28,77,423.61,433.72,2.38662921083072,4.316070522297491,bull,APPLY_GROWTH,False
FAMA_FRENCH,2021-09-29,2022-02-03,89,434.45,446.6,2.7966394291633176,9.727659040003344,bear,APPLY_FAMA_FRENCH,True
GROWTH,2022-02-04,2022-02-11,6,448.7,440.46,-1.8364163137954108,3.7330069502120122,bull,APPLY_GROWTH,False
FAMA_FRENCH,2022-02-14,2026-03-20,1028,439.02,648.57,47.731310646439816,22.747264651717042,bear,APPLY_FAMA_FRENCH,True
