date,decision,today_regime,bear_state,bull_state,vol_ratio,ret_ratio,n_bars_window,n_obs,last_volatility,last_return,error
2019-01-18,neutral,1,1,2,0.8233845040493499,0.18230950373412408,2718,2708,8.70772400000003,0.7586788259636605,
2019-01-22,neutral,1,1,2,0.9349501019565931,0.31685442113222806,2718,2708,10.43974099999998,1.3310009126863402,
2019-01-23,neutral,1,1,0,0.7664954013233803,0.382834155953287,2718,2708,8.206108999999984,-1.3510470614726287,
2019-01-24,neutral,2,2,1,0.6452863257290714,0.13808869812057645,2718,2708,7.405324999999979,0.2092368561211334,
2019-01-25,neutral,1,2,1,0.4767499405092677,0.32177531125008346,2718,2708,6.798220999999995,0.05314908317830999,
2019-01-28,neutral,1,2,1,0.36979768129996904,0.3973299316323383,2718,2708,7.352980999999969,0.8461392525137399,
2019-01-29,neutral,2,1,2,0.5936446152685367,0.38116823795564203,2718,2708,6.261228999999977,-0.760027090074491,
2019-01-30,neutral,1,2,1,0.9993699881555611,0.32360754738657027,2718,2708,3.080135999999952,-0.13269639065816116,
2019-01-31,neutral,0,2,0,0.9967369213731713,0.4703441571376592,2718,2708,3.4438049999999527,1.5830834060969432,
2019-02-01,neutral,1,2,1,0.8288947231040193,0.4025717025261641,2718,2708,5.112979999999974,0.878242021077817,
2019-02-04,neutral,1,2,1,0.48003757178351686,0.3214151585125009,2718,2708,6.795679999999966,0.04816063423850459,
2019-02-05,neutral,2,2,1,0.928403995113911,0.17489204248058388,2718,2708,10.376179999999943,0.7035473598459517,
2019-02-06,neutral,1,1,2,0.9826919192526259,0.147234029957027,2718,2708,12.911603999999977,0.41917929107223245,
2019-02-07,neutral,2,2,0,0.9877762504260617,0.14160894103091995,2718,2708,13.573101000000005,-0.1318198462101844,
2019-02-08,neutral,2,2,1,0.9598023512647308,0.2588302058153559,2718,2708,11.370064000000013,-0.953288846520504,
2019-02-11,neutral,2,2,1,0.9336479745848745,0.13679616239177878,2718,2708,10.473805000000002,0.12215888058045492,
2019-02-12,neutral,1,1,2,0.5816437453474628,0.13702717707043705,2718,2708,7.087708999999988,0.05545901578732475,
2019-02-13,neutral,1,2,1,0.9991540171808252,0.4648977522045723,2718,2708,3.281000000000031,1.285935998817537,
2019-02-14,neutral,2,1,2,0.9999784919962973,0.3309837445251253,2718,2708,3.0505490000000157,0.3246990149580395,
2019-02-15,neutral,2,1,2,0.9998100822543404,0.3265756684868836,2718,2708,3.1586840000000107,-0.22182624822721322,
2019-02-19,neutral,1,2,1,0.8877731258935722,0.4389835459884175,2718,2708,4.757381000000008,1.0897295721262517,
2019-02-20,neutral,2,1,2,0.5055279746871704,0.3227757740288265,2718,2708,6.669864000000013,0.17305404333562324,
2019-02-21,neutral,1,2,1,0.183875671866806,0.3239089312855808,2718,2708,8.702001000000028,0.20154759762461838,
2019-02-22,neutral,1,2,1,0.1276778105628085,0.33533327361444437,2718,2708,9.393705000000029,-0.3555906756222869,
2019-02-25,neutral,1,2,1,0.1888322453147822,0.3634466265624153,2718,2708,8.700704999999985,0.6199985581428774,
2019-02-26,neutral,0,2,0,0.44417730323800103,0.32240295965671956,2718,2708,7.012879999999986,0.13613240667765117,
2019-02-27,neutral,1,2,1,0.9851062798940985,0.32094743633854117,2718,2708,3.8025799999999768,-0.07155123068116365,
2019-02-28,neutral,1,2,1,0.9996164428050593,0.32058980603268217,2718,2708,2.930479999999984,-0.04296147787484052,
2019-03-01,neutral,1,2,1,0.581131592890939,0.3248380724038168,2718,2708,2.1116689999999894,-0.18624641833810238,
2019-03-04,neutral,0,2,1,0.9942311401615747,0.4716279314255201,2718,2708,0.8662209999999885,0.6243720396153327,
2019-03-05,bull,0,1,2,0.9989862064135704,0.5085018670027891,2718,2708,0.6837239999999859,-0.3637401041295338,
2019-03-06,bull,0,2,1,0.9998267369543953,0.5372793857798247,2718,2708,0.5528009999999913,-0.13600572655690604,
2019-03-07,neutral,0,2,1,0.9967401987613956,0.4535125833832841,2718,2708,0.7966649999999985,-0.6056913482904444,
2019-03-08,neutral,0,1,2,0.47013364562608106,0.3795817341033282,2718,2708,2.054444000000006,-0.836548516208125,
2019-03-11,neutral,1,2,1,0.9923619853615219,0.3243668734077408,2718,2708,3.6175640000000158,-0.19999272753718458,
2019-03-12,neutral,1,2,1,0.9966975276227256,0.48079866608048655,2718,2708,3.445196000000018,1.450120236099985,
2019-03-13,neutral,2,1,2,0.9958305972036734,0.33591114379209147,2718,2708,3.4883250000000223,0.37710099123689533,
2019-03-14,neutral,1,2,1,0.9457618893797622,0.37073389375716626,2718,2708,4.352029000000012,0.6619199255787205,
2019-03-15,neutral,1,2,1,0.8545978247556208,0.3206901495338217,2718,2708,5.064781000000029,-0.06397952655148574,
2019-03-18,neutral,2,1,2,0.7870323409165904,0.3204219146754459,2718,2708,5.458784000000026,0.05335040546307342,
2019-03-19,neutral,1,2,1,0.5469431493821487,0.3353006143746519,2718,2708,6.643969000000022,0.3625893142796139,
2019-03-20,neutral,2,1,2,0.34813451521505806,0.3204871347620454,2718,2708,7.69312100000001,0.024793681153257956,
2019-03-21,neutral,2,1,2,0.3658897189242858,0.3320114912120727,2718,2708,7.610409000000014,-0.30099150141641856,
2019-03-22,neutral,2,1,2,0.4995545458988271,0.4493682724336128,2718,2708,6.9008490000000275,1.1294619072988836,
2019-03-25,neutral,2,1,2,0.9999879635265037,0.3608926335471188,2718,2708,2.967780000000002,-1.9246303515611345,
2019-03-26,neutral,1,2,1,0.9555001825684426,0.32116355399723845,2718,2708,2.6689799999999915,-0.07520143240822902,
2019-03-27,neutral,1,2,1,0.7527780057646741,0.38491593688930903,2718,2708,2.3310809999999944,0.7454128440366915,
2019-03-28,neutral,1,2,1,0.9337154577734768,0.35163254910109676,2718,2708,2.6161840000000023,-0.5229083665338742,
2019-03-29,neutral,1,2,1,0.9458834763699809,0.33715996304155366,2718,2708,2.642869000000005,0.37904523511532356,
2019-04-01,neutral,1,2,1,0.9868213463404437,0.36750636903190337,2718,2708,2.7897040000000097,0.6305439777706667,
2019-04-02,neutral,2,1,2,0.9201532215549921,0.4585691511571127,2718,2708,4.595003999999999,1.1859246672330663,
2019-04-03,neutral,1,2,1,0.6272994782023714,0.32110012176490177,2718,2708,6.258981000000023,0.04898016303398636,
2019-04-04,neutral,1,2,1,0.3147318179784411,0.3245055751146326,2718,2708,7.923060000000035,0.15735916354862,
2019-04-05,neutral,1,2,1,0.13783890331958457,0.3298254553071343,2718,2708,9.54618500000003,0.26534459884085987,
2019-04-08,neutral,2,2,1,0.9330949351755186,0.14998254264004934,2718,2708,10.811841000000019,0.4840169928267937,
2019-04-09,neutral,2,2,1,0.9095799130970604,0.13526682076984178,2718,2708,10.28631600000005,0.07623800117823311,
2019-04-10,neutral,2,2,1,0.8502046131670719,0.17275332623994025,2718,2708,9.337389000000053,-0.512483119221586,
2019-04-11,neutral,1,2,1,0.6160795256146927,0.3351296985897114,2718,2708,6.308205000000028,0.3410949845115096,
2019-04-12,neutral,1,2,1,0.999510335264985,0.3218136498703187,2718,2708,3.203204999999987,-0.027749835235367483,
2019-04-15,neutral,1,2,1,0.2621454691456227,0.3749604550183872,2718,2708,1.7148210000000081,0.6765899864682161,
2019-04-16,bull,0,2,1,0.7310527760719129,0.5403039287567227,2718,2708,1.7313810000000047,-0.06548111386820984,
2019-04-17,bull,0,2,1,0.8453371386333215,0.5429227326756382,2718,2708,1.537384000000017,0.06552401972617779,
2019-04-18,bull,0,2,1,0.9769816961638498,0.5257191603141366,2718,2708,1.0995490000000159,-0.24469258340227332,
2019-04-22,bull,0,1,2,0.9943352538081964,0.5374550245314006,2718,2708,0.9001810000000102,0.19692520297114985,
2019-04-23,bull,0,2,1,0.9891981153963787,0.542247794057227,2718,2708,0.9824610000000034,0.08620095165850632,
2019-04-24,neutral,0,2,1,0.45551177560384887,0.384783397520271,2718,2708,2.1010760000000004,0.8991628483825451,
2019-04-25,bull,0,2,1,0.582501374212349,0.527310119108021,2718,2708,1.955444000000006,-0.22193389784211187,
2019-04-26,bull,0,2,1,0.6872852041627496,0.5401388329680316,2718,2708,1.8185800000000156,-0.061595318755776896,
2019-04-29,bull,0,1,2,0.680001253490116,0.5046453656102682,2718,2708,1.828980000000012,0.4656736860126737,
2019-04-30,neutral,0,2,1,0.21487053092203628,0.5400998815322853,2718,2708,2.3999490000000145,0.15677720595752684,
2019-05-01,neutral,2,1,2,0.9593039997911386,0.3222112760896281,2718,2708,2.692764000000012,0.05104297818762625,
2019-05-02,neutral,1,2,1,0.7802664977498774,0.38007841733909214,2718,2708,2.384709000000021,-0.7516495476498128,
2019-05-03,bull,1,2,0,0.7449274644195877,0.5262508621110865,2718,2708,1.7714240000000134,-0.21589390356738816,
